gender,ssc_p,ssc_b,hsc_p,hsc_b,hsc_s,degree_p,degree_t,workex,etest_p,specialisation,mba_p,extracurricular,backlogs,projects,communication,status
M,45.0,Central,65.15,Central,Science,75.51,Comm&Mgmt,No,57.66,Mkt&Fin,64.56,Yes,2,4,5.6,Placed
M,66.42,Central,45.32,Others,Science,69.4,Comm&Mgmt,No,52.67,Mkt&Fin,65.0,Yes,3,3,6.6,Not Placed
M,81.28,Others,77.66,Central,Commerce,75.86,Comm&Mgmt,No,83.71,Mkt&Fin,67.27,Yes,1,5,5.4,Placed
M,63.37,Others,86.43,Others,Commerce,76.72,Sci&Tech,No,77.28,Mkt&Fin,62.53,No,1,3,7.7,Placed
M,67.0,Others,68.0,Others,Commerce,64.0,Comm&Mgmt,Yes,74.4,Mkt&HR,53.49,Yes,1,4,5.1,Placed
M,55.96,Others,53.42,Others,Commerce,63.13,Comm&Mgmt,No,69.06,Mkt&HR,59.15,Yes,2,3,3.6,Not Placed
M,61.8,Others,47.0,Others,Commerce,54.38,Comm&Mgmt,No,57.0,Mkt&Fin,56.13,Yes,1,4,3.6,Not Placed
M,65.0,Central,68.0,Central,Arts,64.0,Comm&Mgmt,No,75.0,Mkt&Fin,57.8,No,0,4,6.3,Placed
M,74.24,Central,66.13,Others,Commerce,73.48,Comm&Mgmt,No,74.25,Mkt&Fin,62.11,Yes,0,4,8.2,Placed
M,64.0,Others,80.0,Others,Science,65.0,Sci&Tech,Yes,69.0,Mkt&Fin,57.65,Yes,1,1,8.1,Placed
F,81.04,Central,61.17,Others,Commerce,64.71,Comm&Mgmt,No,95.82,Mkt&HR,68.34,No,0,0,4.0,Placed
M,45.0,Others,81.9,Others,Science,52.0,Others,Yes,69.92,Mkt&Fin,69.13,Yes,1,1,8.4,Placed
M,52.0,Central,63.0,Others,Science,65.0,Sci&Tech,Yes,86.0,Mkt&HR,56.09,No,1,1,5.8,Not Placed
M,59.73,Others,83.28,Others,Science,64.23,Comm&Mgmt,Yes,98.0,Mkt&Fin,66.96,Yes,0,4,8.5,Placed
M,67.0,Others,63.0,Central,Commerce,72.0,Comm&Mgmt,No,56.0,Mkt&HR,60.41,Yes,0,0,6.1,Placed
M,69.01,Central,68.4,Others,Commerce,77.7,Comm&Mgmt,Yes,63.02,Mkt&Fin,59.88,No,0,4,6.6,Placed
M,62.0,Central,72.0,Central,Commerce,65.0,Comm&Mgmt,No,67.0,Mkt&Fin,56.49,Yes,1,2,6.3,Placed
M,63.0,Central,72.0,Central,Commerce,68.0,Comm&Mgmt,No,78.0,Mkt&HR,60.44,No,0,2,7.6,Placed
F,74.0,Others,73.0,Others,Commerce,73.0,Comm&Mgmt,Yes,80.0,Mkt&Fin,67.69,Yes,0,2,10.0,Placed
M,68.39,Central,62.81,Others,Science,71.2,Comm&Mgmt,No,76.45,Mkt&Fin,62.07,Yes,0,3,5.4,Not Placed
M,69.55,Others,68.86,Central,Arts,69.2,Comm&Mgmt,Yes,86.75,Mkt&HR,70.89,Yes,0,2,8.2,Placed
M,69.0,Others,65.0,Others,Commerce,57.0,Comm&Mgmt,No,73.0,Mkt&HR,55.8,Yes,1,3,7.8,Placed
F,42.63,Central,56.3,Others,Commerce,60.13,Comm&Mgmt,No,76.98,Mkt&HR,59.76,No,0,3,6.1,Not Placed
